"Resident Population in Santa Clara County, CA",
Date,CASANT5POP
1/1/1970,1065.313
1/1/1971,1100.5
1/1/1972,1138.8
1/1/1973,1163.9
1/1/1974,1164.6
1/1/1975,1192.8
1/1/1976,1206.7
1/1/1977,1231.6
1/1/1978,1260.4
1/1/1979,1271.4
1/1/1980,1295.071
1/1/1981,1324.722
1/1/1982,1345.039
1/1/1983,1374.018
1/1/1984,1396.226
1/1/1985,1419.52
1/1/1986,1429.933
1/1/1987,1447.591
1/1/1988,1472.234
1/1/1989,1498.121
1/1/1990,1498.307
1/1/1991,1513.118
1/1/1992,1531.886
1/1/1993,1549.185
1/1/1994,1561.366
1/1/1995,1580.245
1/1/1996,1608.695
1/1/1997,1637.414
1/1/1998,1658.96
1/1/1999,1671.498
1/1/2000,1685.849
1/1/2001,1690.359
1/1/2002,1673.321
1/1/2003,1669.027
1/1/2004,1669.675
1/1/2005,1683.013
1/1/2006,1700.372
1/1/2007,1724.156
1/1/2008,1755.961
1/1/2009,1782.913
1/1/2010,1786.542
1/1/2011,1813.812
1/1/2012,1841.868
1/1/2013,1870.935
1/1/2014,1896.246
1/1/2015,1919.22
1/1/2016,1931.575
1/1/2017,1938.153
